__label__1 , The European Union includes how many ?
__label__1 , What is michael jordan rookie cards worth ?
__label__1 , Blood is abnormal in any way ?
__label__2 , What color eyes dose a koala have ?
__label__2 , Where in the body is maltase made ?
__label__2 , How can you send a photo through text message to your email ?
__label__2 , What kind of government did babylonia have ?
__label__2 , How much would 80 pounds be in kilograms ?
__label__2 , How much would 8lbs of marijuana cost ?
__label__2 , What is located within the midbrain ?
__label__1 , Why were Socrates ' teaching revolutionary ?
__label__1 , List of countries that grow oranges ?
__label__2 , Who invented the lightning rod and what year ?
__label__1 , What are the reasons for thirsty ?
__label__1 , Which are the parts of the chloroplast ?
__label__2 , What items did Jacques cartier find ?
__label__2 , How do you change a headlight on a volkswagon polo ?
__label__2 , What is the reaction between tartaric acid and sodium bicarbonate ?
__label__1 , Does luke benward has a girlfriend ?
__label__1 , Abbreviations mla apa and cms refer to ?
__label__2 , What is factor in math subject ?
__label__2 , Where can you find dumbo octopus ?
__label__1 , How did koala 's get their name ?
__label__2 , What are the ABC 's of spiders ?
__label__1 , How do you aprouve to me that gosts are real ?
__label__1 , How did womens aviagtor jakie cochran die ?
__label__2 , Who is luke pirozzi in love with ?
__label__2 , What neurotransmitter does the calcium influx cause to be released ?
__label__2 , How does sulphur cause corrosion ?
__label__2 , What phylum are bladder worms in ?
__label__1 , The componets that make up blood ?
__label__2 , What is rodney mullens best move ?
__label__1 , What is soulja oy full name ?
__label__1 , Geogrege washington full name ?
__label__1 , Where do mosyt actors live ?
__label__1 , What country was dirk hartog born ?
__label__1 , What is 1 bunch of parsley ?
__label__2 , How do you make it look like you 're wearing a retainer ?
__label__2 , What is the meaning of subsistence hunting ?
__label__2 , How many documents can 20GB portable hold ?
__label__2 , In what country did the new madrid earthquake occur ?
__label__2 , What jobs were available in the 1800 's ?
__label__2 , What is the value of a US 1933 double eagle ?
__label__1 , What are some Aerobics exursize ?
__label__1 , What are the principles of of olympics ?
__label__1 , In which battles did Ann Bates act as a spy and y ?
__label__2 , What is the hwang ho river ?
__label__2 , Who designed the first space telescope ?
__label__1 , Cigarretes addictive drug ?
__label__2 , What is the radius of saturn in meters ?
__label__2 , What boxing equipment is needed ?
__label__2 , What do Christians mean by agape ?
__label__1 , Can justien bieber skateboard ?
__label__2 , Where is tel-aviv ?
__label__2 , How much Dramamine can you give an eighteen pound dog ?
__label__2 , What is the role of a diabetic nurse ?
__label__2 , How do you score a roe deer head ?
__label__1 , What are thethree parts of parliament canada ?
__label__1 , What is niki manaj from ?
__label__1 , What iz the zip code for hollywood ?
__label__2 , How do you compose a review ?
__label__2 , How many people believe in Christanity ?
__label__1 , Why sodium nitrite solution must placed in the burette when determine the purity of sodium nitrite ?
__label__2 , What is the name of the worlds most famous waterfalls ?
__label__1 , How many electrons in a boron ?
__label__2 , Has miley cyrus been taking drugs to make her sing well ?
__label__1 , What color is christofer drew ingle hair ?
__label__1 , How do we say how are you in japanes ?
__label__2 , What is resonance ?
__label__2 , In what city and state can kentucky fried chicken be contacted ?
__label__1 , How do you make my own default layout ?
__label__2 , When order is important what is counted ?
__label__1 , What r the two nucleons ?
__label__2 , What is the plasma proteins between capillaries and intercellular spaces ?
__label__1 , Speed of apollo 13 ?
__label__2 , What is fan fiction ?
__label__1 , How is the zebra life ?
__label__1 , What is worth fucing ?
__label__2 , What ingredients are listed on a coke can ?
__label__1 , How you can consere biofuels ?
__label__2 , What is your job description as a psychiatrist ?
__label__1 , Name english softwood trees ?
__label__2 , How is volume related to weight ?
__label__1 , Acrostic poem on the topic jews ?
__label__2 , Which vitamin has been shown to have an improtant role in wound healing and maintaining healthy gums ?
__label__2 , How many gal in 1 kg ?
__label__2 , What is the worlds current ppopluation ?
__label__1 , State the newton 's law of viscosity ?
__label__2 , How much do the average pro male hockey players get paid ?
__label__2 , What is the longitude and latitude of manila philipines ?
__label__1 , The rolr of the youth in national development ?
__label__2 , In what year did columbus set sail on his first trip ?
__label__1 , Internal and external parts of a stem ?
__label__2 , How do you sell corporate art ?
__label__2 , In which ocean would you find the bermuda triangle ?
__label__1 , A list of MEDCS now please ?
__label__1 , Give a example of memo ?
__label__1 , How do get the laser pen for spy island ?
__label__1 , The man who is probaly the greatest inventor of all time ?
__label__1 , Legal age to own a pistol in oregon ?
__label__1 , What do men wear to a feast in the midieval ages ?
__label__2 , Which The Crow movie is the most popular ?
__label__1 , What is tape non-porous surfaces ?
__label__2 , What part of italy is san marino in ?
__label__1 , Mesopotamias longitude latitude location ?
__label__1 , What is the weather average for England ?
__label__2 , What is the title of a jewish spritual leader ?
__label__1 , 1 cubic inch of gold weighs ?
__label__1 , Applications of atomic absorption spectroscopy ?
__label__2 , What natural process formed a common landform ?
__label__2 , What are examples of enzymes and antibodies ?
__label__1 , What is ingredients of Ecstasy ?
__label__2 , Where does the milkweed plant live ?
__label__1 , What qaulafacatations do astronauts need ?
__label__2 , Where can I find When I look at You sheet music ?
__label__1 , Tactical assassin 3 c koi bande de nouilles ?
__label__2 , Are squirrel monkeys cold-blooded or warm-blooded ?
__label__1 , The advantages and disadvantages of fertilizer ?
__label__2 , What is malaysia best known for ?
__label__1 , How many decimeters is in 1 centemeter ?
__label__1 , Functions of nuclear pores ?
__label__1 , Properties of plasma associated with the earth ?
__label__1 , Why would your check engin light on your 2001 Toyota Avalon come on ?
__label__2 , Will a modeling agency hire someone with spots ?
__label__1 , Some examples of protists are ?
__label__2 , What is gastrointestinal malignancy ?
__label__1 , Who was vp of roosevelt ?
__label__1 , What is the use on ethane ?
__label__2 , What is the normal respiration rate for a 5 year old ?
__label__2 , The Islamic fasting festival is called what ?
__label__2 , How would a frog adapt to a rainforest ?
__label__2 , What is clinical correlation required after a sleep study ?
__label__2 , Can you take ativan with methadone ?
__label__1 , How many miles is a 10k miles ?
__label__2 , Are joe jonas and demi lavarto in a relationship ?
__label__1 , Process formed by autotrophs but not heterotrophs ?
__label__1 , What brat boy likes dana ?
__label__1 , Allows flow of electricity ?
__label__1 , How much oil does a pound of shelled peanut have ?
__label__2 , Is Vanssa Hughes single ?
__label__2 , How long does it take for wood to biodegrade ?
__label__2 , How do you remove wood stain out of carpet ?
__label__2 , How many different types of doctor are there in the US ?
__label__1 , The scientific name for the grasshopper ?
__label__1 , What is mtu value on wii iternet ?
__label__2 , Who are 3 famous people from jamaica ?
__label__2 , Where is the fuel filter located on a 2000 lincoln ls v8 ?
__label__2 , What did slaves do to became free ?
__label__2 , How do you get ride of a bad cough ?
__label__1 , The natural reasoures of peru ?
__label__2 , One kilogram is how much in pounds ?
__label__1 , Things made of gallium ?
__label__2 , What are some cons of dams ?
__label__2 , What do people in Guatemala speak ?
__label__2 , Where can you find the latitude range for a rain forest ?
__label__1 , The bad side effects of plastic surgery ?
__label__1 , Where doyou get the lazer pen poptropica ?
__label__1 , How much bus drivers in guilford surrey earn money ?
__label__2 , How much is a Babe Ruth Autograph on a baseball worth ?
__label__1 , How biomass works to generate energy ?
__label__1 , What the meaning of adidas logo ?
__label__1 , What do fruit flieseat ?
__label__1 , What is the taxonomy of quarter horse ?
__label__2 , What is the pertantage or ratio of the population suffering from cystic fibrosis ?
__label__1 , Parson Ave krogers ?
__label__2 , When were huge craters formed ?
__label__2 , What is an LSAT test ?
__label__2 , What is the most popular sport played in south africa ?
__label__1 , What continent is th netherlands in ?
__label__1 , What is the value of a 1963 tow dollar bill ?
__label__1 , How much of Canada 's land mass ?
__label__1 , What are the different side effects medrol ?
__label__2 , Who are Randy Moss 's children ?
__label__1 , The representative particle of a compound is the molecules ?
__label__2 , What were the first colonies of australia ?
